model_id,direction_or_slice,metric,value,unit,split,checkpoint_id,evidence_path
train_20260914T211231Z_98b2aa86,best_checkpoint_full_split,cross_entropy,0.876737655457606,nats/character,training,epoch_010,task1_llm/Yuyao_Ding/outputs/train_20260914T211231Z_98b2aa86/metrics.json
train_20260914T211231Z_98b2aa86,best_checkpoint_full_split,perplexity,2.4030473364501996,dimensionless,training,epoch_010,task1_llm/Yuyao_Ding/outputs/train_20260914T211231Z_98b2aa86/metrics.json
train_20260914T211231Z_98b2aa86,best_checkpoint_full_split,bits_per_character,1.2648650676893047,bits/character,training,epoch_010,task1_llm/Yuyao_Ding/outputs/train_20260914T211231Z_98b2aa86/metrics.json
train_20260914T211231Z_98b2aa86,best_checkpoint_full_split,top1_accuracy,0.7246622227343756,fraction,training,epoch_010,task1_llm/Yuyao_Ding/outputs/train_20260914T211231Z_98b2aa86/metrics.json
train_20260914T211231Z_98b2aa86,best_checkpoint_full_split,target_tokens,88792832,characters,training,epoch_010,task1_llm/Yuyao_Ding/outputs/train_20260914T211231Z_98b2aa86/metrics.json
train_20260914T211231Z_98b2aa86,best_checkpoint_full_split,cross_entropy,0.8760242209402774,nats/character,validation,epoch_010,task1_llm/Yuyao_Ding/outputs/train_20260914T211231Z_98b2aa86/metrics.json
train_20260914T211231Z_98b2aa86,best_checkpoint_full_split,perplexity,2.4013335309502937,dimensionless,validation,epoch_010,task1_llm/Yuyao_Ding/outputs/train_20260914T211231Z_98b2aa86/metrics.json
train_20260914T211231Z_98b2aa86,best_checkpoint_full_split,bits_per_character,1.263835799249156,bits/character,validation,epoch_010,task1_llm/Yuyao_Ding/outputs/train_20260914T211231Z_98b2aa86/metrics.json
train_20260914T211231Z_98b2aa86,best_checkpoint_full_split,top1_accuracy,0.7251761366982743,fraction,validation,epoch_010,task1_llm/Yuyao_Ding/outputs/train_20260914T211231Z_98b2aa86/metrics.json
train_20260914T211231Z_98b2aa86,best_checkpoint_full_split,target_tokens,8693248,characters,validation,epoch_010,task1_llm/Yuyao_Ding/outputs/train_20260914T211231Z_98b2aa86/metrics.json
train_20260914T211231Z_98b2aa86,best_checkpoint_full_split,generalization_gap_validation_minus_training,-0.0007134345173285261,nats/character,validation_minus_training,epoch_010,task1_llm/Yuyao_Ding/outputs/train_20260914T211231Z_98b2aa86/metrics.json
train_20260914T211231Z_98b2aa86,formal_run,parameter_count,456192,parameters,training,epoch_010,task1_llm/Yuyao_Ding/outputs/train_20260914T211231Z_98b2aa86/metrics.json
train_20260914T211231Z_98b2aa86,formal_run,completed_epochs,10,epochs,training,epoch_010,task1_llm/Yuyao_Ding/outputs/train_20260914T211231Z_98b2aa86/metrics.json
train_20260914T211231Z_98b2aa86,formal_run,best_epoch,10,epoch,training,epoch_010,task1_llm/Yuyao_Ding/outputs/train_20260914T211231Z_98b2aa86/metrics.json
train_20260914T211231Z_98b2aa86,formal_run,training_seconds_excluding_evaluation_and_checkpoints,7504.290094500999,seconds,training,epoch_010,task1_llm/Yuyao_Ding/outputs/train_20260914T211231Z_98b2aa86/metrics.json
train_20260914T211231Z_98b2aa86,formal_run,training_tokens_per_second,118322.76055674566,characters/second,training,epoch_010,task1_llm/Yuyao_Ding/outputs/train_20260914T211231Z_98b2aa86/metrics.json
train_20260914T211231Z_98b2aa86,formal_run,this_segment_wall_seconds,7988.863309958,seconds,training,epoch_010,task1_llm/Yuyao_Ding/outputs/train_20260914T211231Z_98b2aa86/metrics.json
train_20260914T211231Z_98b2aa86,formal_run,nonfinite_events,0,events,training,epoch_010,task1_llm/Yuyao_Ding/outputs/train_20260914T211231Z_98b2aa86/metrics.json
train_20260914T211231Z_98b2aa86,formal_run,optimizer_steps,54200,steps,training,epoch_010,reproducibility/raw_logs/Yuyao_Ding/train_20260914T211231Z_98b2aa86.jsonl
train_20260914T211231Z_98b2aa86,formal_run,total_training_target_tokens,887928320,characters,training,epoch_010,reproducibility/raw_logs/Yuyao_Ding/train_20260914T211231Z_98b2aa86.jsonl
train_20260914T211231Z_98b2aa86,all_training_steps_before_clip,gradient_norm_mean_before_clip,0.696584620995935,L2 norm,training,epoch_010,reproducibility/raw_logs/Yuyao_Ding/train_20260914T211231Z_98b2aa86.jsonl
train_20260914T211231Z_98b2aa86,all_training_steps_before_clip,gradient_norm_median_before_clip,0.617542564868927,L2 norm,training,epoch_010,reproducibility/raw_logs/Yuyao_Ding/train_20260914T211231Z_98b2aa86.jsonl
train_20260914T211231Z_98b2aa86,all_training_steps_before_clip,gradient_norm_max_before_clip,4.018500804901123,L2 norm,training,epoch_010,reproducibility/raw_logs/Yuyao_Ding/train_20260914T211231Z_98b2aa86.jsonl
train_20260914T211231Z_98b2aa86,before_clip_gt_1,gradient_norm_above_clip_count,3826,steps,training,epoch_010,reproducibility/raw_logs/Yuyao_Ding/train_20260914T211231Z_98b2aa86.jsonl
train_20260914T211231Z_98b2aa86,formal_run,minibatch_loss_max,4.662388801574707,nats/character,training,epoch_010,reproducibility/raw_logs/Yuyao_Ding/train_20260914T211231Z_98b2aa86.jsonl
train_20260914T211231Z_98b2aa86,within_epoch_at_global_step_49483,max_adjacent_minibatch_loss_increase,0.10858172178268433,nats/character,training,epoch_010,reproducibility/raw_logs/Yuyao_Ding/train_20260914T211231Z_98b2aa86.jsonl
train_20260914T211231Z_98b2aa86,posthoc_loss_gt_2x_previous_100_step_median_within_epoch,loss_spike_count,0,steps,training,epoch_010,reproducibility/raw_logs/Yuyao_Ding/train_20260914T211231Z_98b2aa86.jsonl
train_20260914T211231Z_98b2aa86,formal_run,nonfinite_loss_steps,0,steps,training,epoch_010,reproducibility/raw_logs/Yuyao_Ding/train_20260914T211231Z_98b2aa86.jsonl
train_20260914T211231Z_98b2aa86,formal_run,nonfinite_gradient_steps,0,steps,training,epoch_010,reproducibility/raw_logs/Yuyao_Ding/train_20260914T211231Z_98b2aa86.jsonl
train_20260914T211231Z_98b2aa86,process_lifetime,process_lifetime_peak_rss_bytes,1452556288,bytes,training,epoch_010,task1_llm/Yuyao_Ding/outputs/train_20260914T211231Z_98b2aa86/metrics.json
train_20260914T211231Z_98b2aa86,sampled_MPS_allocation_not_true_peak,mps_sampled_allocated_bytes,900260352,bytes,training,epoch_010,task1_llm/Yuyao_Ding/outputs/train_20260914T211231Z_98b2aa86/metrics.json
train_20260914T211231Z_98b2aa86,unavailable_MPS_peak_not_recorded,true_gpu_peak_memory_bytes,not_measured,bytes,training,epoch_010,task1_llm/Yuyao_Ding/outputs/train_20260914T211231Z_98b2aa86/metrics.json
train_20260914T211231Z_98b2aa86,greedy,distinct_1,0.03777777777777778,fraction,generation,epoch_010,task1_llm/Yuyao_Ding/outputs/train_20260914T211231Z_98b2aa86/generations_20260914T232627Z_059e7b30.json
train_20260914T211231Z_98b2aa86,greedy,distinct_2,0.18394648829431437,fraction,generation,epoch_010,task1_llm/Yuyao_Ding/outputs/train_20260914T211231Z_98b2aa86/generations_20260914T232627Z_059e7b30.json
train_20260914T211231Z_98b2aa86,greedy,distinct_3,0.30089485458612975,fraction,generation,epoch_010,task1_llm/Yuyao_Ding/outputs/train_20260914T211231Z_98b2aa86/generations_20260914T232627Z_059e7b30.json
train_20260914T211231Z_98b2aa86,greedy,repeated_4gram_rate,0.6240179573512907,fraction,generation,epoch_010,task1_llm/Yuyao_Ding/outputs/train_20260914T211231Z_98b2aa86/generations_20260914T232627Z_059e7b30.json
train_20260914T211231Z_98b2aa86,greedy_pooled_including_all_calls,generation_tokens_per_second,32.65822384006941,characters/second,generation,epoch_010,task1_llm/Yuyao_Ding/outputs/train_20260914T211231Z_98b2aa86/generations_20260914T232627Z_059e7b30.json
train_20260914T211231Z_98b2aa86,greedy_pooled_including_all_calls,generation_seconds,27.558142916999714,seconds,generation,epoch_010,task1_llm/Yuyao_Ding/outputs/train_20260914T211231Z_98b2aa86/generations_20260914T232627Z_059e7b30.json
train_20260914T211231Z_98b2aa86,greedy,generated_tokens,900,characters,generation,epoch_010,task1_llm/Yuyao_Ding/outputs/train_20260914T211231Z_98b2aa86/generations_20260914T232627Z_059e7b30.json
train_20260914T211231Z_98b2aa86,greedy_sample_1,generation_tokens_per_second,19.244354696615343,characters/second,generation,epoch_010,task1_llm/Yuyao_Ding/outputs/train_20260914T211231Z_98b2aa86/generations_20260914T232627Z_059e7b30.json
train_20260914T211231Z_98b2aa86,greedy_sample_3,generation_tokens_per_second,49.47905733684548,characters/second,generation,epoch_010,task1_llm/Yuyao_Ding/outputs/train_20260914T211231Z_98b2aa86/generations_20260914T232627Z_059e7b30.json
train_20260914T211231Z_98b2aa86,greedy_sample_5,generation_tokens_per_second,50.79593526692899,characters/second,generation,epoch_010,task1_llm/Yuyao_Ding/outputs/train_20260914T211231Z_98b2aa86/generations_20260914T232627Z_059e7b30.json
train_20260914T211231Z_98b2aa86,temperature_sampling,distinct_1,0.04111111111111111,fraction,generation,epoch_010,task1_llm/Yuyao_Ding/outputs/train_20260914T211231Z_98b2aa86/generations_20260914T232627Z_059e7b30.json
train_20260914T211231Z_98b2aa86,temperature_sampling,distinct_2,0.25863991081382387,fraction,generation,epoch_010,task1_llm/Yuyao_Ding/outputs/train_20260914T211231Z_98b2aa86/generations_20260914T232627Z_059e7b30.json
train_20260914T211231Z_98b2aa86,temperature_sampling,distinct_3,0.5391498881431768,fraction,generation,epoch_010,task1_llm/Yuyao_Ding/outputs/train_20260914T211231Z_98b2aa86/generations_20260914T232627Z_059e7b30.json
train_20260914T211231Z_98b2aa86,temperature_sampling,repeated_4gram_rate,0.30078563411896747,fraction,generation,epoch_010,task1_llm/Yuyao_Ding/outputs/train_20260914T211231Z_98b2aa86/generations_20260914T232627Z_059e7b30.json
train_20260914T211231Z_98b2aa86,temperature_sampling_pooled_including_all_calls,generation_tokens_per_second,47.827668091172775,characters/second,generation,epoch_010,task1_llm/Yuyao_Ding/outputs/train_20260914T211231Z_98b2aa86/generations_20260914T232627Z_059e7b30.json
train_20260914T211231Z_98b2aa86,temperature_sampling_pooled_including_all_calls,generation_seconds,18.817559707998953,seconds,generation,epoch_010,task1_llm/Yuyao_Ding/outputs/train_20260914T211231Z_98b2aa86/generations_20260914T232627Z_059e7b30.json
train_20260914T211231Z_98b2aa86,temperature_sampling,generated_tokens,900,characters,generation,epoch_010,task1_llm/Yuyao_Ding/outputs/train_20260914T211231Z_98b2aa86/generations_20260914T232627Z_059e7b30.json
train_20260914T211231Z_98b2aa86,temperature_sampling_sample_2,generation_tokens_per_second,44.760084550297485,characters/second,generation,epoch_010,task1_llm/Yuyao_Ding/outputs/train_20260914T211231Z_98b2aa86/generations_20260914T232627Z_059e7b30.json
train_20260914T211231Z_98b2aa86,temperature_sampling_sample_4,generation_tokens_per_second,49.3963905151864,characters/second,generation,epoch_010,task1_llm/Yuyao_Ding/outputs/train_20260914T211231Z_98b2aa86/generations_20260914T232627Z_059e7b30.json
